KECAMATAN,LSUID,sedyld,Klasifikas,Kelas
BARRU,330,0.000000000000000,0.000 - 0.025,Sangat Rendah
BARRU,320,0.002333333333333,0.000 - 0.025,Sangat Rendah
BARRU,160,0.000000000000000,0.000 - 0.025,Sangat Rendah
BARRU,110,0.001833333333333,0.000 - 0.025,Sangat Rendah
BARRU,150,0.000083333333333,0.000 - 0.025,Sangat Rendah
BARRU,280,0.000083333333333,0.000 - 0.025,Sangat Rendah
BARRU,240,0.000416666666667,0.000 - 0.025,Sangat Rendah
BARRU,270,0.013333333333333,0.000 - 0.025,Sangat Rendah
BARRU,120,0.000333333333333,0.000 - 0.025,Sangat Rendah
BARRU,250,0.000333333333333,0.000 - 0.025,Sangat Rendah
BARRU,310,0.023666666666667,0.000 - 0.025,Sangat Rendah
BARRU,190,0.000416666666667,0.000 - 0.025,Sangat Rendah
BARRU,260,0.000333333333333,0.000 - 0.025,Sangat Rendah
BARRU,390,0.053083333333333,0.025 - 0.070,Rendah
BARRU,210,0.019250000000000,0.000 - 0.025,Sangat Rendah
BARRU,170,0.023750000000000,0.000 - 0.025,Sangat Rendah
BARRU,200,0.000333333333333,0.000 - 0.025,Sangat Rendah
BARRU,140,0.000000000000000,0.000 - 0.025,Sangat Rendah
BARRU,130,0.000000000000000,0.000 - 0.025,Sangat Rendah
BARRU,420,0.010666666666667,0.000 - 0.025,Sangat Rendah
BARRU,570,0.001166666666667,0.000 - 0.025,Sangat Rendah
BARRU,430,0.007083333333333,0.000 - 0.025,Sangat Rendah
BARRU,770,0.009333333333333,0.000 - 0.025,Sangat Rendah
BARRU,720,0.005083333333333,0.000 - 0.025,Sangat Rendah
BARRU,750,0.029666666666667,0.025 - 0.070,Rendah
BARRU,740,0.017166666666667,0.000 - 0.025,Sangat Rendah
BARRU,670,0.173916666666667,0.138 - 0.494,Tinggi
BARRU,590,0.101250000000000,0.70 - 0.138,Sedang
BARRU,660,0.065666666666667,0.025 - 0.070,Rendah
BARRU,500,0.062333333333333,0.025 - 0.070,Rendah
BARRU,650,0.066416666666667,0.025 - 0.070,Rendah
BARRU,440,0.061416666666667,0.025 - 0.070,Rendah
BARRU,410,0.002250000000000,0.000 - 0.025,Sangat Rendah
BARRU,450,0.034083333333333,0.025 - 0.070,Rendah
BARRU,460,0.004916666666667,0.000 - 0.025,Sangat Rendah
BARRU,470,0.011166666666667,0.000 - 0.025,Sangat Rendah
BARRU,560,0.136333333333333,0.70 - 0.138,Sedang
LALABATA,720,0.005083333333333,0.000 - 0.025,Sangat Rendah
LALABATA,750,0.029666666666667,0.025 - 0.070,Rendah
LALABATA,710,0.047666666666667,0.025 - 0.070,Rendah
LALABATA,670,0.173916666666667,0.138 - 0.494,Tinggi
LALABATA,540,0.037166666666667,0.025 - 0.070,Rendah
MARIORIWAWO,540,0.037166666666667,0.025 - 0.070,Rendah
PUJANANTING,920,0.006166666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1550,0.016666666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1450,0.018333333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1470,0.033250000000000,0.025 - 0.070,Rendah
PUJANANTING,1350,0.041500000000000,0.025 - 0.070,Rendah
PUJANANTING,1320,0.094583333333333,0.70 - 0.138,Sedang
PUJANANTING,1480,0.002750000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1460,0.138416666666667,0.138 - 0.494,Tinggi
PUJANANTING,1360,0.012416666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1250,0.030083333333333,0.025 - 0.070,Rendah
PUJANANTING,1370,0.018416666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1670,0.020333333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1420,0.089750000000000,0.70 - 0.138,Sedang
PUJANANTING,1400,0.147500000000000,0.138 - 0.494,Tinggi
PUJANANTING,1340,0.195000000000000,0.138 - 0.494,Tinggi
PUJANANTING,1680,0.184416666666667,0.138 - 0.494,Tinggi
PUJANANTING,1810,0.061250000000000,0.025 - 0.070,Rendah
PUJANANTING,1690,0.221750000000000,0.138 - 0.494,Tinggi
PUJANANTING,1600,0.003583333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1710,0.185250000000000,0.138 - 0.494,Tinggi
PUJANANTING,1610,0.019583333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1820,0.005333333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1589,0.017666666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1790,0.009333333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1830,0.176250000000000,0.138 - 0.494,Tinggi
PUJANANTING,1770,0.055000000000000,0.025 - 0.070,Rendah
PUJANANTING,1760,0.032666666666667,0.025 - 0.070,Rendah
PUJANANTING,1800,0.021166666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1580,0.032500000000000,0.025 - 0.070,Rendah
PUJANANTING,1730,0.001416666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1620,0.001250000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1700,0.002333333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1740,0.004000000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1780,0.106500000000000,0.70 - 0.138,Sedang
PUJANANTING,1750,0.108250000000000,0.70 - 0.138,Sedang
PUJANANTING,1900,0.048833333333333,0.025 - 0.070,Rendah
PUJANANTING,1720,0.013666666666667,0.000 - 0.025,Sangat Rendah
PUJANANTING,1630,0.000583333333333,0.000 - 0.025,Sangat Rendah
PUJANANTING,1660,0.001000000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1650,0.002500000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1640,0.000000000000000,0.000 - 0.025,Sangat Rendah
PUJANANTING,1870,0.076833333333333,0.70 - 0.138,Sedang
